time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.023,-0.3422,-0.1409,1.9999,-0.3343,-0.1408,2.0008,0.0044,-0.0087,-0.0000,-0.0530,-0.0024,0.0113
0.118,-0.3418,-0.1418,2.0003,-0.2343,-0.1379,2.0108,0.0030,-0.0097,0.0079,-0.0477,-0.0095,0.0116
0.218,-0.3423,-0.1435,2.0017,-0.1346,-0.1300,2.0208,-0.0175,-0.0269,0.0217,-0.0167,-0.0440,0.0122
0.318,-0.3467,-0.1485,2.0047,-0.0355,-0.1172,2.0308,-0.0675,-0.0730,0.0335,0.0021,-0.0567,0.0124
0.421,-0.3559,-0.1586,2.0084,0.0629,-0.0994,2.0408,-0.1084,-0.1244,0.0439,-0.0130,-0.0222,0.0131
0.519,-0.3667,-0.1723,2.0132,0.1603,-0.0767,2.0508,-0.1012,-0.1478,0.0523,-0.0361,0.0301,0.0128
0.628,-0.3745,-0.1890,2.0193,0.2660,-0.0461,2.0618,-0.0371,-0.1501,0.0575,-0.0631,0.0829,0.0115
0.718,-0.3736,-0.2016,2.0245,0.3511,-0.0168,2.0708,0.0522,-0.1295,0.0581,-0.0855,0.1148,0.0107
0.818,-0.3617,-0.2123,2.0303,0.4439,0.0202,2.0808,0.1770,-0.0842,0.0567,-0.1077,0.1359,0.0108
0.918,-0.3365,-0.2173,2.0359,0.5349,0.0618,2.0908,0.3138,-0.0194,0.0558,-0.1244,0.1415,0.0118
1.018,-0.2977,-0.2150,2.0415,0.6236,0.1079,2.1008,0.4483,0.0591,0.0579,-0.1352,0.1336,0.0135
1.119,-0.2461,-0.2044,2.0476,0.7099,0.1583,2.1108,0.5796,0.1538,0.0648,-0.1401,0.1163,0.0149
1.220,-0.1768,-0.1827,2.0552,0.8018,0.2187,2.1218,0.6764,0.2407,0.0747,-0.1388,0.0911,0.0157
1.323,-0.1050,-0.1541,2.0632,0.8824,0.2780,2.1318,0.7482,0.3226,0.0865,-0.1328,0.0664,0.0156
1.418,-0.0353,-0.1217,2.0714,0.9523,0.3346,2.1408,0.7916,0.3888,0.0972,-0.1252,0.0456,0.0149
1.518,0.0455,-0.0792,2.0817,1.0269,0.4013,2.1508,0.8192,0.4526,0.1088,-0.1157,0.0257,0.0140
1.620,0.1281,-0.0309,2.0931,1.0980,0.4715,2.1608,0.8284,0.5053,0.1187,-0.1060,0.0090,0.0132
1.718,0.2108,0.0221,2.1053,1.1656,0.5452,2.1708,0.8229,0.5480,0.1267,-0.0977,-0.0041,0.0128
1.818,0.2922,0.0788,2.1182,1.2294,0.6222,2.1808,0.8065,0.5826,0.1313,-0.0917,-0.0134,0.0127
1.918,0.3716,0.1387,2.1314,1.2892,0.7023,2.1908,0.7829,0.6116,0.1330,-0.0881,-0.0191,0.0128
2.020,0.4409,0.1949,2.1434,1.3396,0.7769,2.1998,0.7583,0.6349,0.1332,-0.0865,-0.0220,0.0131
2.118,0.5224,0.2664,2.1581,1.3966,0.8710,2.2108,0.7260,0.6619,0.1335,-0.0860,-0.0241,0.0136
2.218,0.5933,0.3339,2.1713,1.4438,0.9591,2.2208,0.6951,0.6854,0.1322,-0.0854,-0.0260,0.0142
2.318,0.6610,0.4037,2.1844,1.4865,1.0495,2.2308,0.6630,0.7086,0.1299,-0.0863,-0.0272,0.0147
2.418,0.7256,0.4759,2.1973,1.5247,1.1419,2.2408,0.6304,0.7325,0.1274,-0.0873,-0.0283,0.0151
2.518,0.7868,0.5504,2.2099,1.5582,1.2361,2.2508,0.5935,0.7592,0.1251,-0.0878,-0.0298,0.0155
2.618,0.8446,0.6275,2.2223,1.5870,1.3319,2.2608,0.5622,0.7811,0.1236,-0.0877,-0.0317,0.0158
2.720,0.8988,0.7069,2.2346,1.6109,1.4290,2.2708,0.5258,0.8044,0.1218,-0.0866,-0.0342,0.0162
2.818,0.9493,0.7885,2.2466,1.6300,1.5271,2.2808,0.4874,0.8263,0.1196,-0.0857,-0.0366,0.0164
2.918,0.9959,0.8723,2.2585,1.6441,1.6261,2.2908,0.4476,0.8473,0.1172,-0.0854,-0.0385,0.0165
3.018,1.0384,0.9582,2.2701,1.6533,1.7257,2.3008,0.4063,0.8676,0.1156,-0.0842,-0.0405,0.0166
3.118,1.0766,1.0459,2.2816,1.6575,1.8256,2.3108,0.3636,0.8858,0.1142,-0.0821,-0.0426,0.0167
3.218,1.1106,1.1354,2.2929,1.6566,1.9256,2.3208,0.3194,0.9018,0.1134,-0.0802,-0.0445,0.0169
3.318,1.1400,1.2264,2.3042,1.6508,2.0254,2.3308,0.2739,0.9153,0.1126,-0.0775,-0.0463,0.0170
3.419,1.1649,1.3185,2.3154,1.6400,2.1248,2.3408,0.2228,0.9268,0.1111,-0.0747,-0.0479,0.0172
3.520,1.1851,1.4116,2.3264,1.6243,2.2235,2.3508,0.1804,0.9343,0.1100,-0.0734,-0.0489,0.0172
3.618,1.2005,1.5054,2.3374,1.6036,2.3214,2.3608,0.1331,0.9413,0.1097,-0.0715,-0.0497,0.0173
3.718,1.2112,1.5998,2.3484,1.5781,2.4180,2.3708,0.0854,0.9455,0.1096,-0.0683,-0.0507,0.0174
3.818,1.2171,1.6944,2.3593,1.5477,2.5133,2.3808,0.0376,0.9468,0.1091,-0.0657,-0.0514,0.0175
3.918,1.2182,1.7891,2.3701,1.5127,2.6070,2.3908,-0.0102,0.9455,0.1081,-0.0632,-0.0519,0.0175
4.021,1.2140,1.8929,2.3820,1.4688,2.7078,2.4018,-0.0626,0.9417,0.1073,-0.0614,-0.0523,0.0176
4.119,1.2062,1.9774,2.3916,1.4288,2.7884,2.4108,-0.1052,0.9372,0.1072,-0.0596,-0.0526,0.0176
4.218,1.1931,2.0707,2.4023,1.3801,2.8758,2.4208,-0.1522,0.9297,0.1069,-0.0563,-0.0528,0.0176
4.319,1.1753,2.1632,2.4129,1.3272,2.9606,2.4308,-0.2034,0.9185,0.1063,-0.0543,-0.0530,0.0176
4.418,1.1529,2.2545,2.4236,1.2700,3.0426,2.4408,-0.2449,0.9079,0.1064,-0.0523,-0.0532,0.0176
4.518,1.1259,2.3445,2.4342,1.2089,3.1217,2.4508,-0.2906,0.8936,0.1063,-0.0490,-0.0530,0.0175
4.618,1.0944,2.4330,2.4448,1.1438,3.1977,2.4608,-0.3354,0.8765,0.1062,-0.0465,-0.0527,0.0175
4.718,1.0584,2.5196,2.4554,1.0751,3.2703,2.4708,-0.3793,0.8574,0.1058,-0.0442,-0.0524,0.0174
4.818,1.0181,2.6042,2.4659,1.0028,3.3393,2.4808,-0.4223,0.8363,0.1055,-0.0420,-0.0521,0.0173
4.918,0.9735,2.6866,2.4765,0.9271,3.4047,2.4908,-0.4645,0.8134,0.1053,-0.0398,-0.0516,0.0173
5.021,0.9248,2.7665,2.4870,0.8483,3.4662,2.5008,-0.5055,0.7884,0.1055,-0.0372,-0.0509,0.0171
5.118,0.8721,2.8439,2.4975,0.7665,3.5237,2.5108,-0.5452,0.7610,0.1053,-0.0341,-0.0497,0.0170
5.218,0.8154,2.9184,2.5080,0.6819,3.5771,2.5208,-0.5831,0.7312,0.1046,-0.0321,-0.0487,0.0169
5.318,0.7551,2.9898,2.5184,0.5947,3.6261,2.5308,-0.6198,0.7003,0.1043,-0.0307,-0.0478,0.0168
5.418,0.6912,3.0581,2.5289,0.5053,3.6707,2.5408,-0.6552,0.6682,0.1047,-0.0287,-0.0469,0.0167
5.518,0.6238,3.1231,2.5394,0.4137,3.7108,2.5508,-0.6924,0.6308,0.1053,-0.0262,-0.0455,0.0166
5.618,0.5531,3.1845,2.5499,0.3202,3.7463,2.5608,-0.7210,0.5984,0.1059,-0.0237,-0.0436,0.0164
5.720,0.4793,3.2423,2.5605,0.2250,3.7770,2.5708,-0.7506,0.5605,0.1055,-0.0215,-0.0418,0.0162
5.818,0.4027,3.2962,2.5710,0.1285,3.8030,2.5808,-0.7784,0.5214,0.1045,-0.0202,-0.0405,0.0160
5.918,0.3234,3.3462,2.5814,0.0307,3.8241,2.5908,-0.8048,0.4817,0.1041,-0.0189,-0.0393,0.0158
6.018,0.2416,3.3921,2.5918,-0.0679,3.8403,2.6008,-0.8319,0.4369,0.1046,-0.0171,-0.0377,0.0156
6.118,0.1573,3.4339,2.6023,-0.1673,3.8515,2.6108,-0.8522,0.3990,0.1045,-0.0151,-0.0354,0.0154
6.221,0.0710,3.4715,2.6126,-0.2671,3.8578,2.6208,-0.8722,0.3557,0.1036,-0.0134,-0.0331,0.0152
6.318,-0.0172,3.5046,2.6230,-0.3671,3.8590,2.6308,-0.8903,0.3117,0.1039,-0.0125,-0.0317,0.0150
6.419,-0.1072,3.5333,2.6334,-0.4670,3.8553,2.6408,-0.9065,0.2670,0.1039,-0.0108,-0.0292,0.0147
6.519,-0.1986,3.5575,2.6438,-0.5666,3.8465,2.6508,-0.9200,0.2213,0.1036,-0.0094,-0.0266,0.0145
6.618,-0.2912,3.5771,2.6541,-0.6656,3.8328,2.6608,-0.9309,0.1751,0.1042,-0.0085,-0.0243,0.0143
6.718,-0.3848,3.5921,2.6645,-0.7639,3.8142,2.6708,-0.9395,0.1287,0.1038,-0.0074,-0.0217,0.0140
6.818,-0.4791,3.6024,2.6748,-0.8611,3.7907,2.6808,-0.9457,0.0818,0.1026,-0.0065,-0.0194,0.0137
6.918,-0.5739,3.6080,2.6850,-0.9570,3.7624,2.6908,-0.9497,0.0347,0.1013,-0.0058,-0.0173,0.0135
7.018,-0.6690,3.6088,2.6951,-1.0513,3.7293,2.7008,-0.9518,-0.0124,0.1011,-0.0051,-0.0152,0.0132
7.129,-0.7642,3.6050,2.7052,-1.1439,3.6915,2.7108,-0.9516,-0.0595,0.1006,-0.0046,-0.0124,0.0129
7.218,-0.8592,3.5965,2.7152,-1.2345,3.6491,2.7208,-0.9489,-0.1065,0.1000,-0.0041,-0.0098,0.0127
7.318,-0.9539,3.5832,2.7252,-1.3228,3.6023,2.7308,-0.9440,-0.1532,0.1005,-0.0038,-0.0073,0.0124
7.418,-1.0479,3.5654,2.7353,-1.4087,3.5511,2.7408,-0.9356,-0.2041,0.1008,-0.0037,-0.0042,0.0121
7.518,-1.1410,3.5429,2.7453,-1.4919,3.4957,2.7508,-0.9262,-0.2452,0.1004,-0.0037,-0.0013,0.0118
7.620,-1.2329,3.5159,2.7553,-1.5723,3.4362,2.7608,-0.9137,-0.2904,0.0999,-0.0037,0.0011,0.0115
7.718,-1.3235,3.4844,2.7654,-1.6496,3.3727,2.7708,-0.8991,-0.3349,0.1008,-0.0039,0.0035,0.0112
7.818,-1.4125,3.4485,2.7754,-1.7236,3.3055,2.7808,-0.8822,-0.3783,0.1009,-0.0045,0.0065,0.0110
7.918,-1.4997,3.4083,2.7855,-1.7941,3.2347,2.7908,-0.8629,-0.4208,0.1012,-0.0048,0.0091,0.0107
8.018,-1.5848,3.3640,2.7956,-1.8611,3.1604,2.8008,-0.8415,-0.4622,0.1010,-0.0055,0.0118,0.0104
8.118,-1.6677,3.3155,2.8057,-1.9242,3.0829,2.8108,-0.8179,-0.5023,0.1008,-0.0064,0.0144,0.0101
8.218,-1.7481,3.2632,2.8158,-1.9834,3.0023,2.8208,-0.7923,-0.5411,0.1016,-0.0069,0.0166,0.0099
8.320,-1.8258,3.2070,2.8259,-2.0385,2.9188,2.8308,-0.7650,-0.5786,0.1020,-0.0083,0.0195,0.0097
8.418,-1.9007,3.1471,2.8362,-2.0893,2.8327,2.8408,-0.7353,-0.6143,0.1021,-0.0093,0.0221,0.0094
8.518,-1.9725,3.0838,2.8464,-2.1358,2.7442,2.8508,-0.7008,-0.6521,0.1026,-0.0101,0.0242,0.0092
8.618,-2.0412,3.0171,2.8567,-2.1778,2.6534,2.8608,-0.6711,-0.6815,0.1034,-0.0120,0.0267,0.0090
8.718,-2.1063,2.9473,2.8670,-2.2152,2.5607,2.8708,-0.6360,-0.7117,0.1026,-0.0140,0.0296,0.0089
8.818,-2.1679,2.8745,2.8772,-2.2479,2.4662,2.8808,-0.5994,-0.7405,0.1018,-0.0140,0.0310,0.0086
8.918,-2.2258,2.7989,2.8873,-2.2759,2.3702,2.8908,-0.5621,-0.7687,0.1015,-0.0149,0.0324,0.0084
9.018,-2.2800,2.7206,2.8974,-2.2990,2.2729,2.9008,-0.5239,-0.7950,0.1009,-0.0172,0.0344,0.0082
9.118,-2.3302,2.6397,2.9075,-2.3172,2.1746,2.9108,-0.4843,-0.8189,0.1001,-0.0188,0.0365,0.0080
9.221,-2.3764,2.5566,2.9175,-2.3305,2.0755,2.9208,-0.4435,-0.8412,0.1000,-0.0200,0.0382,0.0078
9.318,-2.4184,2.4714,2.9275,-2.3388,1.9759,2.9308,-0.4016,-0.8615,0.1002,-0.0226,0.0402,0.0077
9.422,-2.4597,2.3754,2.9385,-2.3422,1.8659,2.9418,-0.3539,-0.8801,0.1001,-0.0257,0.0426,0.0075
9.518,-2.4896,2.2956,2.9474,-2.3405,1.7760,2.9508,-0.3138,-0.8932,0.0996,-0.0272,0.0441,0.0074
9.618,-2.5185,2.2055,2.9574,-2.3339,1.6762,2.9608,-0.2686,-0.9063,0.0997,-0.0288,0.0455,0.0073
9.718,-2.5428,2.1143,2.9674,-2.3222,1.5769,2.9708,-0.2228,-0.9171,0.0999,-0.0311,0.0469,0.0071
9.818,-2.5626,2.0221,2.9773,-2.3057,1.4783,2.9808,-0.1764,-0.9256,0.0999,-0.0335,0.0482,0.0070
9.918,-2.5776,1.9292,2.9873,-2.2842,1.3806,2.9908,-0.1295,-0.9316,0.1001,-0.0357,0.0493,0.0069
10.018,-2.5880,1.8358,2.9973,-2.2578,1.2842,3.0008,-0.0776,-0.9354,0.1004,-0.0383,0.0504,0.0068
10.118,-2.5936,1.7422,3.0074,-2.2267,1.1892,3.0108,-0.0350,-0.9364,0.1004,-0.0408,0.0514,0.0068
10.218,-2.5945,1.6486,3.0174,-2.1908,1.0958,3.0208,0.0125,-0.9351,0.1003,-0.0432,0.0522,0.0067
10.318,-2.5907,1.5552,3.0274,-2.1546,1.0134,3.0298,0.0600,-0.9317,0.1005,-0.0452,0.0528,0.0067
10.418,-2.5821,1.4624,3.0375,-2.1054,0.9151,3.0408,0.1072,-0.9260,0.1011,-0.0482,0.0533,0.0067
10.518,-2.5688,1.3702,3.0476,-2.0560,0.8281,3.0508,0.1541,-0.9174,0.1010,-0.0511,0.0537,0.0067
10.618,-2.5508,1.2791,3.0577,-2.0023,0.7438,3.0608,0.2006,-0.9065,0.1007,-0.0530,0.0541,0.0067
10.720,-2.5257,1.1802,3.0688,-1.9385,0.6542,3.0718,0.2513,-0.8926,0.1012,-0.0553,0.0543,0.0068
10.820,-2.4981,1.0917,3.0789,-1.8763,0.5759,3.0818,0.2966,-0.8774,0.1015,-0.0586,0.0541,0.0068
10.918,-2.4694,1.0135,3.0880,-1.8170,0.5082,3.0908,0.3366,-0.8613,0.1015,-0.0609,0.0540,0.0069
11.018,-2.4333,0.9285,3.0982,-1.7477,0.4362,3.1008,0.3803,-0.8418,0.1020,-0.0624,0.0540,0.0069
11.118,-2.3929,0.8454,3.1084,-1.6748,0.3677,3.1108,0.4232,-0.8205,0.1020,-0.0655,0.0535,0.0070
11.218,-2.3483,0.7647,3.1185,-1.5986,0.3030,3.1208,0.4649,-0.7967,0.1015,-0.0676,0.0531,0.0071
11.318,-2.2995,0.6864,3.1287,-1.5192,0.2422,3.1308,0.5097,-0.7690,0.1021,-0.0693,0.0527,0.0072
11.418,-2.2468,0.6107,3.1389,-1.4369,0.1854,3.1408,0.5449,-0.7442,0.1021,-0.0727,0.0516,0.0074
11.518,-2.1902,0.5379,3.1491,-1.3519,0.1327,3.1508,0.5828,-0.7148,0.1020,-0.0742,0.0510,0.0075
11.619,-2.1299,0.4681,3.1593,-1.2644,0.0844,3.1608,0.6194,-0.6841,0.1015,-0.0763,0.0502,0.0077
11.718,-2.0660,0.4014,3.1694,-1.1745,0.0406,3.1708,0.6546,-0.6517,0.1016,-0.0783,0.0494,0.0079
11.821,-1.9987,0.3381,3.1796,-1.0826,0.0012,3.1808,0.6915,-0.6142,0.1013,-0.0807,0.0481,0.0082
11.918,-1.9281,0.2783,3.1897,-0.9888,-0.0334,3.1908,0.7200,-0.5819,0.1013,-0.0827,0.0468,0.0084
12.018,-1.8544,0.2221,3.1998,-0.8934,-0.0634,3.2008,0.7501,-0.5446,0.1018,-0.0848,0.0454,0.0087
12.118,-1.7779,0.1698,3.2100,-0.7966,-0.0885,3.2108,0.7781,-0.5056,0.1024,-0.0872,0.0435,0.0089
12.221,-1.6986,0.1215,3.2203,-0.6987,-0.1088,3.2208,0.8037,-0.4649,0.1025,-0.0891,0.0416,0.0091
12.318,-1.6170,0.0772,3.2305,-0.5999,-0.1242,3.2308,0.8272,-0.4234,0.1020,-0.0904,0.0400,0.0094
12.418,-1.5330,0.0372,3.2407,-0.5005,-0.1346,3.2408,0.8489,-0.3811,0.1020,-0.0917,0.0386,0.0096
12.518,-1.4470,0.0015,3.2508,-0.4006,-0.1400,3.2508,0.8687,-0.3380,0.1015,-0.0933,0.0367,0.0099
12.618,-1.3592,-0.0299,3.2610,-0.3006,-0.1404,3.2608,0.8864,-0.2941,0.1017,-0.0946,0.0349,0.0102
12.720,-1.2697,-0.0569,3.2711,-0.2007,-0.1358,3.2708,0.9019,-0.2493,0.1017,-0.0960,0.0329,0.0105
12.818,-1.1787,-0.0793,3.2813,-0.1012,-0.1263,3.2808,0.9163,-0.1994,0.1020,-0.0973,0.0307,0.0108
12.919,-1.0866,-0.0972,3.2915,-0.0023,-0.1117,3.2908,0.9258,-0.1579,0.1024,-0.0985,0.0281,0.0111
13.018,-0.9936,-0.1104,3.3017,0.0958,-0.0923,3.3008,0.9346,-0.1069,0.1014,-0.0994,0.0260,0.0114
